Ամերիկայի Միացյալ Նահանգներ	name	United States of America (a country in North America)
Ամիրան	name	a male given name, Amiran
Ամիրանյան	name	a surname originating as a patronymic
Ամիրխանյան	name	a surname originating as a patronymic
Ամիրյան	name	a surname, Amiryan or Amirian, originating as a patronymic
Ամման	name	Amman (the capital city of Jordan)
Ամուդարյա	name	Amu Darya
Ամուր	name	Amur (a river in Russia)
Ամուրի	name	dative singular of Ամուր (Amur)
Ամուրի Նիկոլաևսկ	name	Nikolayevsk-on-Amur (a town in Khabarovsk Krai, Russia, on the Amur River)
Ամստերդամ	name	Amsterdam (the capital city of the Netherlands)
Այար Ռաջա	name	Ayer Rajah (place name in Singapore)
Այեցիոս	name	alternative form of Աետիոս (Aetios)
Այծեղջյուր	name	Capricorn (a constellation of the zodiac in the shape of a goat). | Capricorn (the zodiac sign for the goat, covering December 22–January 19).
Այծեմնիկ	name	a female given name, Aytsemnik
Այուբյան	adj	Ayyubid
Այուբյան	name	Ayyubid
Այսրկովկաս	name	Transcaucasia (a mountainous region of West Asia and Eastern Europe, lying between the Black Sea and the Caspian Sea, comprising the republics of Georgia, Armenia and Azerbaijan)
Այվազյան	name	a surname originating as a patronymic or as an occupation, Ayvazyan, Ayvazian
Այրարատ	name	Ayrarat (a historical province of Armenia)
Անադիր	name	Anadyr (a city in Russia)
Անակ	name	a male given name of historical usage
Անակրեոն	name	Anacreon
Անահիտ	name	Anahit | a female given name, Anahit or Anahid, equivalent to English Anaïs
Անանիա	name	a male given name, Anania, equivalent to English Ananias
Անաստաս	name	a male given name, Anastas | a transliteration of the Ancient Greek male given name Ἀναστάσιος (Anastásios), Anastasius
Անատոլի	name	a transliteration of the Russian male given name Анато́лий (Anatólij, “Anatoli”)
Անատոլիա	name	Anatolia
Անաքսագորաս	name	Anaxagoras
Անաքսիմանդրոս	name	Anaximander
Անաքսիմենես	name	Anaximenes
Անգլիա	name	England (a constituent country of the United Kingdom) | Great Britain (a large island of the United Kingdom in Northern Europe) | United Kingdom (a kingdom and country in Northern Europe)
Անգմոկիո	name	Ang Mo Kio (place name in Singapore)
Անգոլա	name	Angola (a country in Southern Africa)
Անգրա դու Էրոիշմու	name	Angra do Heroísmo (a city in Portugal)
Անդեր	name	Andes
Անդհրա Պրադեշ	name	Andhra Pradesh (a state in southeastern India, where Telugu is the primary language)
Անդյան լեռներ	name	synonym of Անդեր (Ander)
Անդորա	name	alternative form of Անդորրա (Andorra)
Անդորրա	name	Andorra (a microstate in Southern Europe, between Spain and France)
Անդրանիկ	name	a male given name, Andranik or Antranig
Անդրբայկալ	name	Transbaikal
Անդրեաս	name	Andrew, one of the Apostles | a male given name, Andreas, equivalent to English Andrew
Անդրեասյան	name	a surname originating as a patronymic
Անդրիասյան	name	a surname originating as a patronymic, Andriasyan, Andriasian, Andriassian, Antriasian, Antriassian
Անդրկասպյան երկրամաս	name	Transcaspia
Անդրկովկաս	name	Transcaucasia (a mountainous region of West Asia and Eastern Europe, lying between the Black Sea and the Caspian Sea, comprising the republics of Georgia, Armenia and Azerbaijan)
Անդրհորդանան	name	Transjordan
Անդրոմաքե	name	Andromache.
Անթառամ	name	a female given name, Antaram
Անժելա	name	a female given name, Anzhela, from Russian
Անժու	name	Anjou
Անի	name	Ani (medieval Armenian city) | a female given name, Ani, transferred from the place name
Անկախ Պետությունների Համագործակցություն	name	Commonwealth of Independent States
Անկարա	name	Ankara (the capital city of Turkey)
Անկոս	name	a transliteration of the Latin male given name Ancus
Աննա	name	Anna; Ann; Hannah | a female given name, Anna
Անուշ	name	a female given name, Anush
Անուշավան	name	a male given name, Anushavan
Անտանանարիվու	name	Antananarivo (the capital city of Madagascar)
Անտարկտիկա	name	Antarctica (the southernmost continent, south of the Southern Ocean, containing the South Pole)
Անտիգոնե	name	Antigone
Անտիլյան կղզիներ	name	Antilles
Անտիոք	name	Antioch
Անտիոքոս	name	a transliteration of the Ancient Greek male given name Ἀντίοχος (Antíokhos), Antiochus
Անտիսթենես	name	a transliteration of the Ancient Greek male given name Ἀντισθένης (Antisthénēs), Antisthenes
Անտիտավրոս	name	Anti-Taurus
Անտոնի	name	a transliteration of the Russian male given name Анто́ний (Antónij, “Antoni”)
Անտոնիոս	name	Antonius
Աշգաբատ	name	alternative form of Աշխաբադ (Ašxabad)
Աշխաբադ	name	Ashgabat (the capital city of Turkmenistan)
Աշխեն	name	a female given name
Աշոտ	name	a male given name, Ashot or Ashod
Աշոտյան	name	a surname originating as a patronymic
Աշտարակ	name	Ashtarak
Աոմին	name	Macau (a city, special administrative region, and peninsula in China, west of Hong Kong)
Աուլիս	name	alternative form of Ավլիս (Avlis)
Ապամեա	name	Apamea
Ապարան	name	Aparan
Ապենինյան թերակղզի	name	Apennine Peninsula
Ապենիններ	name	Apennines, Apennine Mountains
Ապիրատ	name	a male given name of historical usage
Ապոլլոն	name	Apollo
Ապոլոն	name	alternative spelling of Ապոլլոն (Apollon)
Ապոլոնիա	name	Apollonia
Ապուլիա	name	Apulia (a peninsula and administrative region in southern Italy)
Ապպիանոս	name	a transliteration of the Latin male given name Appiānus, Appian
Ապպիոս	name	a transliteration of the Latin male given name Appius
Ապրես	name	a male given name, Apres
Ապրեսյան	name	a surname originating as a patronymic, Apresyan
Աջարիա	name	Adjara
Առաքել	name	a male given name, Arakel
Առաքելյան	name	a surname originating as a patronymic
Առինջ	name	Arinj
